date,amount,category,Text
2025-09-26,5.0,Cafe,
2025-09-27,1.0,Public transport,
2025-09-27,10.0,Food,
2025-09-27,1.0,Public transport,
2025-09-27,1.0,Food,
2025-09-27,1.0,Public transport,
2025-09-27,1.0,Public transport,
2025-09-27,24.0,Taxi,
2025-09-27,65.0,Food,
2025-09-28,9.0,Food,
2025-09-28,1.0,Public transport,
2025-09-28,1.0,Public transport,
2025-09-29,5.0,Food,
2025-09-29,88.0,Clothes,
2025-09-29,1129.0,Bought for myself,
2025-09-29,1.0,Cafe,
2025-09-29,1.0,Public transport,
2025-09-29,3.0,Cafe,
2025-09-29,3.0,Cafe,
2025-09-29,1.0,Public transport,
2025-09-30,1.0,Public transport,
2025-09-30,1.0,Cafe,
2025-09-30,4.0,University,
2025-09-30,3.0,Cafe,
2025-09-30,1.0,Public transport,
2025-09-30,2.0,Public transport,
2025-09-30,2.0,Public transport,
2025-09-30,31.0,Leisure,
2025-10-01,2.0,Cafe,
2025-10-01,14.0,Cafe,
2025-10-01,1.0,Public transport,
2025-10-01,1.0,Public transport,
2025-10-01,4.0,Cafe,
2025-10-01,5.0,Cafe,
2025-10-01,3.0,Cafe,
2025-10-01,1.0,Public transport,
2025-10-02,4.0,Taxi,
2025-10-02,2.0,Public transport,
2025-10-02,1.0,Cafe,
2025-10-02,1.0,Public transport,
2025-10-03,59.0,Cafe,
2025-10-04,1.0,Public transport,
2025-10-04,1.0,Food,
2025-10-04,52.0,Loan given,
2025-10-04,86.0,Loan given,
2025-10-05,1.0,Public transport,
2025-10-05,1.0,Public transport,
2025-10-06,2.0,Public transport,
2025-10-06,15.0,Gifts,
2025-10-06,3.0,Cafe,
2025-10-06,1.0,Public transport,
2025-10-07,3.0,Cafe,
2025-10-07,2.0,Food,
2025-10-07,14.0,Taxi,
2025-10-08,10.0,Food,
2025-10-08,1.0,Public transport,
2025-10-09,17.0,Taxi,
2025-10-09,6.0,Cafe,
2025-10-09,1.0,Public transport,
2025-10-10,1.0,Public transport,
2025-10-10,15.0,Food,
2025-10-10,1.0,Public transport,
2025-10-10,1.0,Public transport,
2025-10-10,1.0,Public transport,
2025-10-12,5.0,Public transport,
2025-10-13,15.0,Food,
2025-10-13,9.0,Cafe,
2025-10-13,1.0,Food,
2025-10-13,35.0,Leisure,
2025-10-14,1.0,Public transport,
2025-10-14,1.0,Food,
2025-10-14,27.0,Gifts,
2025-10-14,3.0,Food,
2025-10-14,1.0,Public transport,
2025-10-14,1.0,Public transport,
2025-10-14,1.0,Public transport,
2025-10-14,9.0,Taxi,
2025-10-15,854.0,Loan given,
2025-10-15,11.0,Other,
2025-10-15,0.0,Food,
2025-10-15,1.0,Public transport,
2025-10-15,1.0,Public transport,
2025-10-15,3.0,Cafe,
2025-10-15,4.0,Cafe,
2025-10-15,1.0,Public transport,
2025-10-16,1.0,Public transport,
2025-10-16,1.0,Public transport,
2025-10-16,1.0,Public transport,
2025-10-16,5.0,Cafe,
2025-10-16,1.0,Public transport,
2025-10-17,70.0,Health,
2025-10-18,1.0,Public transport,
2025-10-18,6.0,Food,
2025-10-18,1.0,Public transport,
2025-10-18,1.0,Public transport,
2025-10-18,1.0,Public transport,
2025-10-18,29.0,Leisure,
2025-10-18,1.0,Public transport,
2025-10-19,43.0,Gifts,
2025-10-19,18.0,Food,
2025-10-19,15.0,Gifts,
2025-10-20,2.0,Public transport,
2025-10-20,1.0,Public transport,
2025-10-20,4.0,Cafe,
2025-10-20,1.0,Public transport,
2025-10-21,1.0,Public transport,
2025-10-21,2.0,Public transport,
2025-10-21,9.0,Cafe,
2025-10-21,6.0,Cafe,
2025-10-21,2.0,Public transport,
2025-10-23,17.0,Cafe,
2025-10-24,1.0,Public transport,
2025-10-24,10.0,Taxi,
2025-10-25,4.0,Food,
2025-10-25,11.0,Cafe,
2025-10-25,5.0,Public transport,
2025-10-26,5.0,Public transport,
2025-10-26,128.0,Health,
2025-10-26,44.0,Gifts,
2025-10-26,5.0,Public transport,
2025-10-26,6.0,Food,
2025-10-28,1.0,Public transport,
2025-10-28,1.0,Food,
2025-10-28,2.0,Public transport,
2025-10-28,64.0,Bought for myself,
2025-10-28,5.0,Cafe,
2025-10-28,1.0,Public transport,
2025-10-28,2.0,Food,
2025-10-29,2.0,Public transport,
